# leverage-v1 commands.log (ts	argv	rc	elapsed_s)
# manual setup/measurement commands executed for the evidence package (all < 300 s):
2026-08-01T05:29:00+0800	["python3", "reports/leverage-v1/build-shared.py"]	rc=0	2.261s
2026-08-01T05:34:20+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.099s
2026-08-01T05:34:21+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.348s
2026-08-01T05:34:21+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.097s
2026-08-01T05:34:23+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.342s
2026-08-01T05:34:23+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.031s
2026-08-01T05:34:23+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.355s
2026-08-01T05:34:23+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.030s
2026-08-01T05:34:24+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.364s
2026-08-01T05:34:24+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.032s
2026-08-01T05:34:24+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.357s
2026-08-01T05:34:24+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.032s
2026-08-01T05:34:24+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.363s
2026-08-01T05:34:24+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.024s
2026-08-01T05:34:24+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.173s
2026-08-01T05:34:25+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.019s
2026-08-01T05:34:25+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.178s
2026-08-01T05:34:25+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.020s
2026-08-01T05:34:25+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.177s
2026-08-01T05:34:25+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.019s
2026-08-01T05:34:25+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.243s
2026-08-01T05:34:25+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.027s
2026-08-01T05:34:25+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.219s
2026-08-01T05:34:25+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.024s
2026-08-01T05:34:26+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.216s
2026-08-01T05:34:26+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.024s
2026-08-01T05:34:26+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.213s
2026-08-01T05:34:26+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.025s
2026-08-01T05:34:26+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.215s
2026-08-01T05:34:26+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.153s
2026-08-01T05:34:27+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.718s
2026-08-01T05:34:27+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.151s
2026-08-01T05:34:28+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.721s
2026-08-01T05:34:28+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.152s
2026-08-01T05:34:29+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.709s
2026-08-01T05:34:29+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.151s
2026-08-01T05:34:30+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.717s
2026-08-01T05:34:30+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.096s
2026-08-01T05:34:31+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.309s
2026-08-01T05:34:31+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.095s
2026-08-01T05:34:32+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.312s
2026-08-01T05:34:33+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.096s
2026-08-01T05:34:34+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.321s
2026-08-01T05:34:34+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.094s
2026-08-01T05:34:35+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.322s
2026-08-01T05:34:36+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.335s
2026-08-01T05:34:37+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.636s
2026-08-01T05:34:38+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.331s
2026-08-01T05:34:39+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.704s
2026-08-01T05:34:40+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.423s
2026-08-01T05:34:41+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.701s
2026-08-01T05:34:42+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.330s
2026-08-01T05:34:43+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.645s
2026-08-01T05:34:43+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.006s
2026-08-01T05:34:43+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.005s
2026-08-01T05:34:43+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.006s
2026-08-01T05:34:43+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.005s
2026-08-01T05:34:43+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.005s
2026-08-01T05:34:43+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.006s
2026-08-01T05:34:43+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.046s
2026-08-01T05:34:43+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.031s
2026-08-01T05:34:44+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.700s
2026-08-01T05:34:45+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.687s
2026-08-01T05:34:45+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.167s
2026-08-01T05:34:45+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.166s
2026-08-01T05:34:46+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.710s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.653s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.144s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.143s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.049s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.037s
